time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,max_follower_distance,min_follower_distance,optimal_follower_distance
32,-29.1922416687012,64.9208068847656,224.890579223633,-44.9610252380371,57.0510292053223,5.6173519179265785,16.704289670937474,-0.7084558900695594,-0.7057550933757039,0.7057550933757039,-0.7084558900695593,71.413134444637,18.586865555363005,4.123505212653409,6.488040031332176,36.54397365408771,99.99996497213438,100,91.25445939590551,54.921435220445325,0.5,2.8,20,15,12,13.5
33,-30.3657627105713,63.7817039489746,223.414474487305,-47.9425048828125,55.3008460998535,6.939116324270411,18.240490121832945,-0.7264010706142479,-0.6872710415916523,0.6872710415916522,-0.7264010706142479,69.1719945740027,20.828005425997304,6.015809366932267,7.270345426137942,34.77268092588417,99.9999999999381,100,89.90232904495457,49.1883946585821,0.5,2.8,20,15,12,13.5
34,-31.6894054412842,62.387580871582,223.335754394531,-50.8160171508789,53.7743873596191,8.000641825561193,19.390825365187677,-0.7273446434475048,-0.6862723727851955,0.6862723727851955,-0.7273446434475046,67.57898838959385,22.421011610406154,7.47651968187585,7.826409484589271,33.65952353625964,100.0,100,89.23299362936925,45.405100515669325,0.5,2.8,20,15,12,13.5
35,-33.2019729614258,60.781665802002,222.928039550781,-53.3276100158691,52.467529296875,9.073600117635836,19.79484563158565,-0.7322096782120809,-0.6810792810918277,0.6810792810918278,-0.732209678212081,65.37413287402447,24.62586712597553,8.275356086022256,8.596049250138124,32.2815044097093,100.0,100,88.63194671980534,40.494070919031856,0.5,2.8,20,15,12,13.5
36,-34.8103408813477,59.0534248352051,222.962341308594,-56.0191802978516,51.1565551757813,10.138811843973496,20.233139010185255,-0.7318017994191932,-0.6815175172853821,0.6815175172853821,-0.731801799419193,63.384582671235194,26.615417328764806,9.131292932861296,9.290533283585999,31.173176548387932,100.0,100,88.35984629081666,36.332859902735066,0.5,2.8,20,15,12,13.5
37,-36.4819107055664,57.2624320983887,223.357498168945,-57.9117889404297,50.2658805847168,10.777853905279315,19.799729276962044,-0.7270841503994961,-0.6865483509832667,0.6865483509832666,-0.7270841503994961,61.438624738081565,28.561375261918435,9.043101256138929,9.96980074436269,30.192608137733043,100.0,100,88.30065835968162,32.46977419125055,0.5,2.8,20,15,12,13.5
38,-38.3007583618164,55.3703346252441,225.596466064453,-59.6587715148926,49.4776916503906,10.734481887310064,19.381921104139252,-0.6997074070077448,-0.7144295238709681,0.714429523870968,-0.6997074070077447,61.020565059448174,28.97943494055183,8.655991674399644,10.115731101602332,29.9937649571636,100.0,100,88.31157699881372,31.66348282984067,0.5,2.8,20,15,12,13.5
39,-40.1909942626953,53.5339660644531,227.646102905273,-61.5790328979492,48.7870712280273,10.901347899763344,19.003731770879227,-0.6737079731191534,-0.7389976772329409,0.7389976772329409,-0.6737079731191534,60.15958613515578,29.840413864844223,8.40847341215721,10.416269441985957,29.596332303052062,100.0,100,88.3582190436648,30.027110168543448,0.5,2.8,20,15,12,13.5
40,-42.2145195007324,51.7229537963867,230.893997192383,-63.705638885498,48.329891204834,10.92272651898092,18.816884214768205,-0.630757109387494,-0.7759803276869415,0.7759803276869415,-0.630757109387494,59.86591616187142,30.134083838128582,8.257322587130108,10.518779600947074,29.464343278997397,100.0,100,88.3812694406466,29.47610367534299,0.5,2.8,20,15,12,13.5
41,-44.2980079650879,50.0600242614746,234.653579711914,-66.0325622558594,48.181339263916,11.041459799526967,18.815059740377542,-0.578518658614513,-0.8156691496157402,0.81566914961574,-0.5785186586145129,59.59381621086174,30.40618378913826,8.315597803831682,10.613760401739757,29.343611828618357,100.0,100,88.40575278210804,28.968694532365397,0.5,2.8,20,15,12,13.5
