time,delta_time,follower_world_cs_x,follower_world_cs_z,follower_compass_heading,leader_world_cs_x,leader_world_cs_z,leader_follower_cs_x,leader_follower_cs_z,follower_FT_R11,follower_FT_R21,follower_FT_R12,follower_FT_R22,x_relative_error_heading,compass_relative_error_heading,linear_distance_error,omega,v,v_without_angle_error,v_max,left_wheel_velocity,right_wheel_velocity,follower_wheel_radius,follower_axle_length,proportional_gain,integral_gain,derivative_gain,logistic_function_mid,logistic_function_growth_rate,lin_val_err_deriv_coeff,max_follower_distance,min_follower_distance,optimal_follower_distance
17.100000000000108,0.05,24.7895317077637,40.4948463439941,66.3370666503906,38.4231338500977,46.2069244384766,0.24009824574668936,14.779895005219434,0.4013553183206199,0.9159224358294504,-0.9159224358294505,0.40135531832061994,89.0693163771265,0.9306836228735021,1.2818450652454434,10.004271182850495,33.67809762971655,111.71929688294598,100,95.36815457141448,39.34423594745171,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
17.15000000000011,0.05,24.9786128997803,40.577033996582,65.9401626586914,38.4231338500977,46.2069244384766,0.34043675919925054,14.571716192138988,0.4076904901664232,0.9131201806048651,-0.9131201806048651,0.4076904901664233,88.66165100018294,1.3383489998170575,1.0756924353959807,14.15746001402936,14.837529510511157,57.766334581984395,100,69.31594706030452,-9.965829018259889,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
17.20000000000011,0.05,25.2167510986328,40.6803169250488,65.8245162963867,38.9583740234375,46.3690490722656,0.43783969776163634,14.866141747251032,0.40953270916635626,0.9122954346717211,-0.9122954346717211,0.4095327091663563,88.31300431273182,1.6869956872681797,1.3725880078181412,17.787878178308464,25.952727155336067,112.49205971529938,100,100,2.0993954114084374,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
17.25000000000011,0.05,25.4075336456299,40.7626495361328,66.0361328125,38.9583740234375,46.3690490722656,0.38067751651798876,14.659879785727732,0.4061604470817683,0.9138017789577443,-0.9138017789577443,0.4061604470817683,88.51251750261827,1.487482497381734,1.164821536710594,15.507237045766013,18.085991519983594,73.48175442130066,100,79.59224676811202,-7.248280688177644,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
17.30000000000011,0.05,25.6470069885254,40.8654022216797,66.4047622680664,38.9583740234375,46.3690490722656,0.284659056338195,14.401444032309858,0.4002728656170138,0.9163960023105426,-0.9163960023105426,0.40027286561701375,88.86763862418121,1.132361375818789,0.9042570441556812,11.734099941977492,4.1227175127099525,14.711864121898568,100,41.100914862956884,-24.61004481211707,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
17.35000000000011,0.05,25.8875179290771,40.9677124023438,67.0715942382813,39.5760231018066,46.5553894042969,0.18656817589271668,14.783859457453657,0.3895806021361216,0.9209923747997357,-0.9209923747997357,0.38958060213612167,89.27698165076956,0.7230183492304434,1.2850366297144458,7.428542776162362,39.11990785151094,113.57273144011816,100,99.03973547627649,57.43989592976726,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
17.400000000000112,0.05,26.0791435241699,41.0482482910156,67.7427062988281,39.5760231018066,46.5553894042969,0.01534829075603561,14.577178259347406,0.3787664347573762,0.9254922948902309,-0.925492294890231,0.37876643475737615,89.93967337557025,0.060326624429748676,1.077186339442184,0.40041588327805083,49.01586094622228,58.00496234213077,100,99.1528863656231,96.91055741926603,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
17.450000000000113,0.05,26.2726230621338,41.1288299560547,68.3757781982422,39.5760231018066,46.5553894042969,-0.14210558875483326,14.366899667726422,0.36851758296518417,0.9296207780839985,-0.9296207780839983,0.36851758296518417,90.56670438004943,-0.5667043800494298,0.8676024465069645,-6.153389501206468,3.9413106791151256,10.541359060366826,100,-9.34686924514786,25.112111961608363,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
17.500000000000114,0.05,26.4693164825439,41.2100677490234,68.8893814086914,40.0564613342285,46.7127532958984,-0.23970475405459002,14.657168726576426,0.3601697056370794,0.9328868008184591,-0.9328868008184592,0.3601697056370794,90.93693719210854,-0.9369371921085445,1.1591286728934342,-9.940818963397819,29.52384894139026,97.65576591165238,100,31.21340478526663,86.8819909802944,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
17.550000000000114,0.05,26.7156925201416,41.3110885620117,69.2856750488281,40.0564613342285,46.7127532958984,-0.33373137239635486,14.388979040199738,0.353708710166219,0.9353556266749827,-0.9353556266749827,0.3537087101662191,91.32865378831282,-1.3286537883128204,0.8928487259551545,-14.050364821862077,3.144283257591501,12.198183911442214,100,-33.05245498603082,45.629588016396816,0.5,2.8,30,0,1,1,10,2.5,15,12,13.5
